# time series for Movie #0.   this is not normalized data
body_center_x, body_center_y, shoulder_x, shoulder_y, elbow_x, elbow_y, hand_x, hand_y
1024.85,480.259,974.694,471.448,930.677,444.925,980.581,403.659
1024.89,480.264,974.726,471.456,930.563,442.027,980.609,400.741
1024.92,480.259,974.739,471.392,927.717,441.972,980.624,394.854
1027.68,480.256,974.75,468.541,927.615,439.101,980.656,391.916
1027.74,480.278,974.774,471.383,927.565,438.991,980.706,389.061
1027.77,480.295,974.783,468.524,927.467,436.267,980.696,388.925
1030.6,480.313,974.772,468.531,924.664,436.216,980.653,388.948
1030.7,483.078,974.824,471.434,924.606,436.115,983.502,386.185
1033.54,483.087,974.791,471.403,921.765,436.068,980.671,388.887
1033.64,483.137,974.815,471.465,921.707,436.045,977.699,388.925
1036.57,483.177,977.577,474.348,915.885,436.007,977.71,389.002
1039.45,483.213,977.626,474.389,915.83,433.296,977.75,388.888
1039.51,483.233,977.657,477.194,912.903,433.235,974.813,386.032
1042.29,483.257,977.672,477.196,907.106,433.18,974.773,385.963
1042.29,483.311,977.682,477.238,906.953,433.146,974.71,385.928
1042.34,483.288,977.693,477.208,904.14,433.124,968.771,383.123
1042.42,483.353,977.769,477.234,904.065,433.059,962.931,383.075
1045.17,486.114,977.79,477.25,903.998,433.093,957.022,383.158
1045.2,486.22,980.557,477.331,903.946,433.053,957.053,385.911
1045.22,486.254,980.584,477.352,901.119,433.075,951.273,385.994
1045.29,489.118,980.645,480.103,901.062,433.048,951.13,385.947
1045.38,492.019,983.508,480.125,898.207,433.011,948.182,385.972
1045.4,492.076,983.498,480.133,898.141,430.263,948.18,383.079
1045.43,494.954,983.531,480.153,898.138,430.205,945.332,380.161
1045.47,497.842,983.596,480.174,895.251,430.199,936.524,380.135
1048.18,497.895,986.488,480.187,895.214,430.173,936.459,374.328
1048.16,497.957,986.465,480.212,895.219,430.166,933.52,374.246
1048.21,500.754,989.38,480.213,895.247,430.209,930.571,374.275
1048.23,500.793,989.371,480.213,895.269,430.176,930.554,368.51
1048.27,500.821,989.475,480.244,895.282,430.216,927.603,374.307
1048.3,500.871,992.349,480.29,895.295,430.225,924.591,377.287
1048.3,500.88,992.384,480.292,898.155,430.255,921.709,374.3
1048.32,500.898,992.387,480.302,898.232,433.039,915.883,374.251
1048.32,503.623,992.4,480.331,901.069,433.082,915.811,368.478
1048.33,503.63,995.234,480.364,903.922,433.118,915.821,365.558
1048.33,503.679,995.276,483.104,904.006,433.216,915.854,365.41
1048.3,503.7,995.211,483.144,904.126,436.05,910.069,365.45
1048.3,503.729,992.406,483.194,906.976,436.255,909.989,365.476
1048.35,503.774,995.285,483.27,907.11,441.95,909.965,365.42
1048.33,503.777,995.316,483.271,910.024,444.976,907.176,365.404
1048.32,503.751,995.323,483.211,918.751,453.641,909.911,362.625
1048.38,503.799,998.176,483.269,924.557,456.559,907.174,365.428
1048.38,503.836,998.166,483.289,927.46,456.769,907.156,365.374
1048.37,503.859,998.177,483.344,927.63,459.64,907.105,365.382
1048.39,503.859,998.216,483.351,927.734,462.557,907.116,365.35
1048.47,503.867,998.338,486.098,930.539,471.367,907.147,365.5
1051.25,503.842,1001.14,483.328,930.664,477.303,909.942,368.503
1051.29,503.823,1001.19,483.286,933.572,480.306,910.043,380.176
1051.31,503.835,1001.23,483.3,936.48,483.154,912.91,383.109
1051.33,503.837,1001.29,483.293,942.314,483.352,912.979,388.938
1051.34,503.791,1001.35,483.214,945.273,489.161,918.814,394.86
1054.14,503.79,1004.13,483.241,948.116,497.864,921.711,400.743
1054.18,503.83,1004.13,483.302,948.15,500.886,924.598,406.648
1054.14,503.827,1004.11,483.297,948.266,503.751,927.521,412.453
1051.37,503.867,1004.09,483.326,948.273,503.87,927.669,427.285
1051.36,503.886,1004.11,483.365,951.017,506.675,930.528,436.039
1051.35,503.896,1004.14,486.081,951.045,506.846,930.728,447.886
1054.14,503.895,1004.18,483.36,951.067,506.918,936.408,456.821
1051.35,506.606,1004.18,486.116,951.211,509.777,945.209,477.358
